Smiles,Tg/℃
O=C(N1C2=CC=C(CC3=CC=C(N4C(C5=CC=C(C([*])=O)C=C5C4=O)=O)C(C)=C3)C=C2C)C6=CC([*])=CC=C6C1=O,285
O=C(N1C2=CC=C(CC3=CC=C(N4C(C5=CC=C([*])C=C5C4=O)=O)C=C3)C=C2)C6=CC([*])=CC=C6C1=O,308
O=C(N1C2=CC=C(CC3=CC=C(N4C(C5=CC([*])=CC=C5C4=O)=O)C(C)=C3C)C(C)=C2C)C6=CC=C([*])C=C6C1=O,297
O=C(N1C2=CC=C(CC3=CC=C(N4C(C5=CC([*])=CC=C5C4=O)=O)C(C)=C3)C=C2C)C6=CC=C([*])C=C6C1=O,299
O=C(N1C2=CC=C(CC3=CC=C(N4C(C5=C([*])C=CC=C5C4=O)=O)C(C)=C3)C=C2C)C6=CC=CC([*])=C6C1=O,300
O=C(N1C2=CC=C(CC3=CC=C(N4C(C(OC5=CC=C(C(C)(C)C6=CC=C([*])C=C6)C=C5)=C(Cl)C4=O)=O)C=C3)C=C2)C(Cl)=C([*])C1=O,173
O=C(N1C2=CC=C(CC3=CC=C(N4C(C(OC5=CC=C([*])C=C5)=C(Cl)C4=O)=O)C=C3)C=C2)C(Cl)=C([*])C1=O,192
O=C(N1C2=CC=C(CC3=CC=C(N4C(C(OC5=C(Cl)C=C(C(C)(C)C6=CC(Cl)=C([*])C(Cl)=C6)C=C5Cl)=C(Cl)C4=O)=O)C=C3)C=C2)C(Cl)=C([*])C1=O,200
O=C(N1C2=CC=C(CC3=CC=C(C)C(N4C(C5=CC=CC(S[*])=C5C4=O)=O)=C3)C=C2C)C6=C([*])C=CC=C6C1=O,274
O=C(N1C2=CC=C(CC3=CC=C(C)C(N4C(C5=CC=C(S[*])C=C5C4=O)=O)=C3)C=C2C)C6=CC([*])=CC=C6C1=O,250
O=C(N1C2=CC=C(CC3=CC=C(C)C(N4C(C5=CC=C(S[*])C=C5C4=O)=O)=C3)C=C2C)C6=C([*])C=CC=C6C1=O,265
O=C(N1C2=CC=C(CC3=CC=C([*])C(C)=C3)C=C2C)C(C4=C5C(N([*])C4=O)=O)=C(C=C5)C1=O,354
O=C(N1C2=CC=C(CC3=CC=C([*])C(C)=C3)C=C2C)C(C=C(C(N4[*])=O)C(C4=O)=C5)=C5C1=O,274
O=C(N1C2=CC=C(C3=C(C(F)(F)F)C=C(N4C(C5=CC=CC([*])=C5C4=O)=O)C=C3)C(C(F)(F)F)=C2)C6=C([*])C=CC=C6C1=O,343
